Acadia (Canada),15/08,Assumption Day was preferred over 24 June to remember that Acadians are descendants of France and a separate nation from the French Canadians.
Afghanistan,19/08,Independence from United Kingdom control over Afghan foreign affairs in 1919. (see Afghan Independence Day)
Albania,28/11,Albanian Flag Day: Raising of the Albanian flag in Vlorë to announce the Albanian Declaration of Independence in 1912
Algeria,05/07,Independence Day (Algeria) in 1962
American Samoa (United States),17/04,"US Flag Day, commemorates the date American Samoa became a US territory and first flew the US flag in 1900, as well as the date of adoption of the American Samoan flag in 1960."
Andorra,08/09,"Our Lady of Meritxell Day, patron saint of Andorra, signing of the Paréage of Andorra 1278"
Angola,11/11,Independence from Portugal in 1975
Anguilla (United Kingdom),30/05,Anguilla Day; the beginning of the Anguillian Revolution in 1967
Antigua and Barbuda,01/11,Independence from the United Kingdom in 1981
Aragon (Spain),23/04,"Saint George's Day, patron saint of Aragon and his Crown. An XIII legend holds that during the battle of Alcoraz in 1096, Saint George appeared in support of Aragonese army force."
Argentina,25/05,"May Revolution, in 1810"
Argentina,09/07,"Declaration of Independence, from Spain in 1816"
Armenia,28/05,"Republic Day, independence from the Transcaucasian Democratic Federative Republic 1918"
Armenia,21/09,Independence from the Soviet Union recognised in 1991
Aruba (Kingdom of the Netherlands),18/03,Flag Day; adoption of the flag in 1976
Australia,26/01,"Australia Day, date of the founding of Sydney, the first British settlement in Australia, 1788"
Austria,26/10,The Neutrality Constitution of 1955
Azerbaijan,28/05,"Independence Day, independence from the Transcaucasian Democratic Federative Republic 1918"
Bahamas,10/07,Independence from the United Kingdom in 1973
Bahrain,16/12,"Coronation Day of Isa bin Salman Al Khalifa, the first Emir of Bahrain, in 1961"
Bangladesh,26/03,"Independence Day, declaration of independence from Pakistan in 1971"
Barbados,30/11,"Independence Day, from the United Kingdom in 1966"
Belarus,03/07,"Independence Day, liberation of Minsk from German occupation by Soviet troops in 1944"
Belgium,21/07,"National Day, Leopold of Saxe-Coburg-Saalfeld takes the oath as the first King of the Belgians in 1831"
Belize,21/09,Independence from the United Kingdom in 1981
Benin,01/08,Independence from France in 1960
Bermuda (United Kingdom),24/05,"Originally Queen Victoria's birthday; now ""Bermuda Day"" to celebrate the islands' heritage and culture"
Bhutan,17/12,Ugyen Wangchuck elected hereditary king in 1907
Bolivia,06/08,Proclamation of Republic (independent from Spain) in 1825
Bosnia and Herzegovina,25/11,"Statehood Day, formation of the State Anti-fascist Council for the National Liberation of Bosnia and Herzegovina in 1943"
Federation of Bosnia and Herzegovina (Bosnia and Herzegovina),01/03,Dan nezavisnosti; Referendum on independence from Yugoslavia in 1992
Botswana,30/09,Independence from the United Kingdom in 1966
Brazil,07/09,"Dia da Independência, declaration of independence from Portugal in 1822"
British Virgin Islands (United Kingdom),01/07,"Territory Day, commemoration of the day on which BVI gained self-governing status within the limits of still being a British colonial possession."
Brunei,23/02,"National Day, celebrating independence from the United Kingdom in 1984, which actually occurred on 1 January"
Brussels-Capital Region (Belgium),08/05,"Iris Day - 8 May is during the blooming season of the iris (also called fleur de Lys), the symbol of the Region. Also, victory day over the Nazis in World War II and a former feast day of St. Michael, patron saint of the Region."
Bulgaria,03/03,"Liberation Day, autonomy within Ottoman Empire in 1878"
Bulgaria,06/09,"Unification Day, this day commemorates the unification of Eastern Rumelia and the Principality of Bulgaria on this day in 1885"
Bulgaria,22/09,"Independence Day, this day marks Bulgaria's independence from the Ottoman Empire in 1908"
Burkina Faso,11/12,Proclamation of Independence in 1958
Burundi,01/07,Independence from Belgium in 1962
Cambodia,09/11,Independence from France in 1953
Cameroon,20/05,"National Day, creation of a unitary state in 1972"
Canada,01/07,"Canada Day, creation of a federal Canada from three British colonies in 1867"
Catalonia (Spain),11/09,"National Day, commemorates the fall of Barcelona during the War of the Spanish Succession in 1714"
Cape Verde,05/07,Independence from Portugal in 1975
Central African Republic,01/12,Made an autonomous territory within the French Community in 1958
Chad,11/08,Independence from France in 1960
Chile,18/09,The first Government Junta is created in 1810
People's Republic of China,01/10,National Day of the People's Republic of China (Proclamation of the People's Republic of China in 1949)
Republic of China,01/01,"Founding Day of the Republic of China, establishment of the Provisional Government in 1912"
Republic of China,10/10,Double Ten Day commemorating the 1911 Wuchang Uprising that led to abolishment of the monarchy and founding of the Republic in China in 1911
